customer_id,tenure_months,monthly_charge,contract_type,num_support_calls,has_autopay,num_products,satisfaction_score,churned
C100000,2,38.91,one_year,1,1,2,4,0
C100001,36,61.86,one_year,2,1,2,1,0
C100002,14,64.56,month-to-month,3,1,2,5,0
C100003,31,34.28,month-to-month,1,1,4,4,0
C100004,72,25.82,one_year,2,1,3,3,0
C100005,19,99.86,two_year,3,1,2,4,0
C100006,17,62.99,month-to-month,1,0,1,5,0
C100007,2,66.07,month-to-month,1,0,1,1,0
C100008,8,54.04,two_year,4,0,2,4,0
C100009,17,108.09,month-to-month,3,0,1,1,0
C100010,27,64.45,month-to-month,0,1,1,1,0
C100011,39,25.87,month-to-month,0,1,4,4,0
C100012,12,81.45,month-to-month,4,0,1,1,1
C100013,2,45.68,month-to-month,2,1,1,1,1
C100014,8,80.14,month-to-month,0,1,2,2,0
C100015,58,66.27,month-to-month,1,0,3,3,0
C100016,6,100.65,two_year,0,1,1,5,0
C100017,14,81.2,two_year,1,1,1,3,0
C100018,64,60.33,two_year,0,0,3,5,0
C100019,1,104.49,one_year,3,0,1,4,1
C100020,22,136.41,two_year,2,1,3,4,0
C100021,72,56.64,one_year,1,1,1,5,0
C100022,6,96.4,month-to-month,1,1,2,1,0
C100023,19,78.98,month-to-month,4,1,1,5,0
C100024,58,80.84,month-to-month,2,1,2,3,0
C100025,3,39.46,one_year,2,1,3,2,0
C100026,18,45.92,month-to-month,2,0,4,4,1
C100027,33,104.64,month-to-month,1,0,3,3,0
C100028,27,73.61,month-to-month,4,1,1,1,0
C100029,15,56.86,month-to-month,0,1,1,2,1
C100030,6,114.13,two_year,1,0,2,5,0
C100031,16,99.98,one_year,1,1,3,3,0
C100032,11,88.04,month-to-month,1,1,2,1,0
C100033,16,46.0,month-to-month,2,0,2,4,0
C100034,11,69.75,two_year,2,0,3,5,0
C100035,44,106.2,two_year,2,1,2,4,0
C100036,35,20.1,month-to-month,0,0,3,2,0
C100037,9,30.99,month-to-month,1,0,3,3,0
C100038,20,50.38,month-to-month,0,1,1,3,0
C100039,8,93.99,one_year,1,1,4,3,0
C100040,14,75.72,month-to-month,1,1,3,1,0
C100041,10,81.66,two_year,1,0,1,4,0
C100042,26,74.89,one_year,2,1,2,2,0
C100043,11,72.64,month-to-month,1,1,1,4,0
C100044,15,99.8,month-to-month,1,0,1,1,1
C100045,30,150.0,two_year,1,0,3,5,0
C100046,13,81.7,month-to-month,1,0,1,3,0
C100047,57,102.48,one_year,1,0,3,2,0
C100048,5,59.36,month-to-month,2,1,3,4,0
C100049,32,109.68,two_year,2,1,1,1,1
C100050,13,72.59,month-to-month,1,1,2,5,0
C100051,13,74.71,month-to-month,1,0,1,2,0
C100052,24,58.91,month-to-month,2,0,2,4,0
C100053,18,51.45,month-to-month,0,1,1,1,0
C100054,13,56.84,month-to-month,3,0,3,1,0
C100055,0,46.23,two_year,1,0,3,5,0
C100056,2,38.36,month-to-month,0,0,1,3,0
C100057,30,115.9,one_year,1,0,1,2,0
C100058,18,81.33,one_year,1,1,3,5,0
C100059,29,94.77,one_year,3,0,1,4,0
C100060,72,82.86,two_year,1,0,2,1,0
C100061,28,35.11,month-to-month,1,0,4,2,1
C100062,1,71.16,month-to-month,0,1,2,5,0
C100063,9,48.31,month-to-month,2,1,1,5,0
C100064,22,50.44,month-to-month,1,0,1,3,1
C100065,6,67.53,one_year,2,1,2,1,0
C100066,72,74.45,two_year,0,1,2,4,0
C100067,70,72.64,month-to-month,1,1,4,1,0
C100068,45,73.48,two_year,1,1,4,3,0
C100069,15,63.18,month-to-month,0,1,3,4,0
C100070,44,71.11,two_year,0,1,1,3,0
C100071,3,101.36,month-to-month,2,1,2,4,0
C100072,9,124.64,month-to-month,2,1,1,5,0
C100073,15,98.13,month-to-month,1,0,3,5,1
C100074,33,64.82,one_year,1,0,2,2,0
C100075,16,80.08,one_year,2,0,4,4,1
C100076,4,94.19,two_year,1,1,4,1,1
C100077,10,95.32,month-to-month,3,0,3,5,0
C100078,9,100.73,one_year,4,0,1,3,0
C100079,9,101.18,month-to-month,0,1,2,4,1
C100080,4,80.4,one_year,0,0,2,4,0
C100081,13,63.38,month-to-month,1,1,1,5,1
C100082,14,32.06,two_year,0,1,2,1,0
C100083,36,96.92,one_year,1,1,1,1,0
C100084,38,85.59,one_year,1,0,1,2,1
C100085,18,48.98,one_year,1,0,2,1,0
